"","word","n"
"1","food",263
"2","health",228
"3","people",195
"4","water",185
"5","zika",158
"6","clinton",125
"7","body",109
"8","time",109
"9","natural",103
"10","cancer",102
"11","2016",97
"12","foods",95
"13","disease",92
"14","organic",87
"15","found",83
"16","sources",79
"17","vitamin",78
"18","media",76
"19","day",74
"20","percent",73
"21","brain",72
"22","research",69
"23","study",68
"24","world",68
"25","healthy",66
"26","free",64
"27","heart",64
"28","oil",63
"29","children",62
"30","naturalnews",62
"31","system",62
"32","1",60
"33","public",60
"34","skin",60
"35","sleep",59
"36","government",58
"37","hillary",57
"38","blood",56
"39","reported",56
"40","10",55
"41","women",55
"42","pain",54
"43","reduce",54
"44","3",53
"45","juice",53
"46","lemon",53
"47","researchers",53
"48","tags",53
"49","u.s",53
"50","america",52
"51","microcephaly",52
"52","products",52
"53","medical",51
"54","news",51
"55","risk",51
"56","benefits",50
"57","patients",49
"58","tea",49
"59","million",48
"60","american",47
"61","evidence",46
"62","immune",46
"63","levels",46
"64","october",46
"65","diet",45
"66","include",45
"67","infection",45
"68","cholesterol",44
"69","sugar",44
"70","prevent",43
"71","2",42
"72","americans",42
"73","chemical",42
"74","control",42
"75","gmo",42
"76","life",42
"77","published",42
"78","report",42
"79","trump",42
"80","chemicals",41
"81","eating",41
"82","including",41
"83","weight",41
"84","fbi",40
"85","medicine",40
"86","salt",40
"87","called",39
"88","effects",39
"89","virus",39
"90","chinese",38
"91","criminal",38
"92","exercise",38
"93","bacteria",37
"94","dr",37
"95","drugs",37
"96","industry",37
"97","told",37
"98","company",36
"99","drink",36
"100","increase",36
"101","studies",36
"102","toxic",36
"103","age",35
"104","babies",35
"105","change",35
"106","companies",35
"107","drug",35
"108","federal",35
"109","lower",35
"110","monsanto",35
"111","rich",35
"112","2015",34
"113","adams",34
"114","article",34
"115","election",34
"116","avoid",33
"117","symptoms",33
"118","treatment",33
"119","farmers",32
"120","fermented",32
"121","improve",32
"122","start",32
"123","amount",31
"124","bad",31
"125","cdc",31
"126","eat",31
"127","garlic",31
"128","home",31
"129","inflammation",31
"130","lead",31
"131","milk",31
"132","political",31
"133","process",31
"134","reports",31
"135","5",30
"136","gmail.com",30
"137","helps",30
"138","pet",30
"139","power",30
"140","protect",30
"141","waste",30
"142","20",29
"143","agents",29
"144","common",29
"145","daily",29
"146","days",29
"147","deep",29
"148","don’t",29
"149","effective",29
"150","officials",29
"151","science",29
"152","times",29
"153","toxins",29
"154","university",29
"155","vaccine",29
"156","add",28
"157","human",28
"158","minutes",28
"159","pressure",28
"160","product",28
"161","recent",28
"162","teeth",28
"163","anti",27
"164","antioxidants",27
"165","care",27
"166","comey",27
"167","damage",27
"168","fast",27
"169","top",27
"170","acid",26
"171","cinnamon",26
"172","data",26
"173","issues",26
"174","it’s",26
"175","low",26
"176","means",26
"177","mercury",26
"178","pulling",26
"179","social",26
"180","vote",26
"181","30",25
"182","air",25
"183","clintons",25
"184","diseases",25
"185","doctors",25
"186","drinking",25
"187","exposure",25
"188","fight",25
"189","hydrogen",25
"190","journal",25
"191","kidney",25
"192","mind",25
"193","nutrients",25
"194","organization",25
"195","peroxide",25
"196","rate",25
"197","safe",25
"198","4",24
"199","breathing",24
"200","causing",24
"201","effect",24
"202","experts",24
"203","feel",24
"204","money",24
"205","national",24
"206","nuclear",24
"207","packaging",24
"208","properties",24
"209","taking",24
"210","white",24
"211","8",23
"212","addition",23
"213","campaign",23
"214","caused",23
"215","cells",23
"216","corrupt",23
"217","democrats",23
"218","email",23
"219","family",23
"220","fat",23
"221","glyphosate",23
"222","keywords",23
"223","law",23
"224","level",23
"225","months",23
"226","november",23
"227","person",23
"228","project",23
"229","propaganda",23
"230","question",23
"231","quickly",23
"232","remedies",23
"233","vegetables",23
"234","15",22
"235","6",22
"236","agency",22
"237","blackheads",22
"238","center",22
"239","china",22
"240","cold",22
"241","continue",22
"242","dakota",22
"243","democracy",22
"244","developing",22
"245","diabetes",22
"246","energy",22
"247","entire",22
"248","fda",22
"249","global",22
"250","gut",22
"251","harmful",22
"252","http",22
"253","increased",22
"254","instagram",22
"255","list",22
"256","pipeline",22
"257","police",22
"258","recently",22
"259","running",22
"260","shown",22
"261","simple",22
"262","support",22
"263","7",21
"264","author",21
"265","b12",21
"266","conditions",21
"267","crisis",21
"268","dangerous",21
"269","eye",21
"270","history",21
"271","hours",21
"272","local",21
"273","massive",21
"274","provide",21
"275","raw",21
"276","real",21
"277","regular",21
"278","scientific",21
"279","shrimp",21
"280","stop",21
"281","type",21
"282","united",21
"283","washington",21
"284","added",20
"285","benefit",20
"286","book",20
"287","boost",20
"288","brazil",20
"289","california",20
"290","corn",20
"291","fraud",20
"292","glass",20
"293","green",20
"294","herbal",20
"295","house",20
"296","information",20
"297","liver",20
"298","lot",20
"299","major",20
"300","millions",20
"301","noted",20
"302","oral",20
"303","produce",20
"304","quality",20
"305","reason",20
"306","survive",20
"307","vitamins",20
"308","week",20
"309","100",19
"310","animals",19
"311","birth",19
"312","country",19
"313","director",19
"314","form",19
"315","half",19
"316","ingredients",19
"317","kill",19
"318","loss",19
"319","mainstream",19
"320","morning",19
"321","mouth",19
"322","naled",19
"323","nutrition",19
"324","obama",19
"325","obesity",19
"326","pesticide",19
"327","plant",19
"328","popular",19
"329","result",19
"330","results",19
"331","similar",19
"332","store",19
"333","story",19
"334","stress",19
"335","syndrome",19
"336","weeks",19
"337","writer",19
"338","9",18
"339","arteries",18
"340","average",18
"341","call",18
"342","content",18
"343","corruption",18
"344","countries",18
"345","easy",18
"346","essential",18
"347","healing",18
"348","increases",18
"349","infections",18
"350","johnson",18
"351","kids",18
"352","marijuana",18
"353","meals",18
"354","mixture",18
"355","potential",18
"356","president",18
"357","rest",18
"358","spraying",18
"359","steal",18
"360","treatments",18
"361","vaccines",18
"362","watch",18
"363","18",17
"364","27",17
"365","40",17
"366","access",17
"367","alkaline",17
"368","baby",17
"369","based",17
"370","chemotherapy",17
"371","chronic",17
"372","clean",17
"373","cranberry",17
"374","death",17
"375","digestive",17
"376","doctor",17
"377","economic",17
"378","environmental",17
"379","epa",17
"380","fresh",17
"381","infected",17
"382","inflammatory",17
"383","investigation",17
"384","lack",17
"385","left",17
"386","mice",17
"387","nation",17
"388","nhs",17
"389","pharma",17
"390","practice",17
"391","remedy",17
"392","source",17
"393","spray",17
"394","treat",17
"395","you’re",17
"396","11",16
"397","12",16
"398","25",16
"399","active",16
"400","antibiotics",16
"401","biological",16
"402","breast",16
"403","calories",16
"404","cardiovascular",16
"405","carrots",16
"406","cell",16
"407","cole",16
"408","cook",16
