"","word","n"
"1","2016",165
"2","photo",125
"3","october",120
"4","forces",111
"5","loading",107
"6","people",107
"7","daesh",96
"8","syria",95
"9","military",93
"10","al",89
"11","president",88
"12","afp",81
"13","foreign",79
"14","russia",78
"15","government",77
"16","city",75
"17","country",74
"18","mosul",67
"19","iraqi",64
"20","russian",63
"21","saudi",60
"22","clinton",59
"23","syrian",59
"24","trump",59
"25","presidential",56
"26","minister",55
"27","election",54
"28","political",53
"29","wednesday",53
"30","iran",52
"31","united",52
"32","eu",48
"33","south",46
"34","terrorists",46
"35","26",45
"36","iranian",45
"37","thursday",45
"38","international",44
"39","nato",42
"40","terrorism",42
"41","added",41
"42","november",41
"43","campaign",39
"44","east",39
"45","news",39
"46","secretary",39
"47","army",38
"48","iraq",38
"49","meeting",38
"50","militants",38
"51","killed",37
"52","anti",35
"53","called",35
"54","moscow",35
"55","operation",35
"56","security",35
"57","support",35
"58","war",35
"59","indian",34
"60","countries",33
"61","police",33
"62","told",33
"63","western",33
"64","american",32
"65","rights",32
"66","talks",32
"67","day",31
"68","defense",31
"69","leader",31
"70","national",31
"71","percent",31
"72","regime",31
"73","capital",30
"74","democratic",30
"75","including",30
"76","tehran",30
"77","world",30
"78","yemen",30
"79","held",29
"80","israeli",29
"81","officials",29
"82","reuters",29
"83","village",29
"84","week",29
"85","human",28
"86","press",28
"87","terrorist",28
"88","tv",28
"89","uk",28
"90","washington",28
"91","27",27
"92","allies",27
"93","attack",27
"94","gas",27
"95","nominee",27
"96","north",27
"97","terror",27
"98","1",26
"99","arabia",26
"100","european",26
"101","hillary",26
"102","operations",26
"103","2011",25
"104","battle",25
"105","crisis",25
"106","march",25
"107","offensive",25
"108","troops",25
"109","efforts",24
"110","friday",24
"111","kashmir",24
"112","maduro",24
"113","million",24
"114","opposition",24
"115","civilians",23
"116","conflict",23
"117","donald",23
"118","earlier",23
"119","india",23
"120","mediterranean",23
"121","ministry",23
"122","pakistan",23
"123","sea",23
"124","takfiri",23
"125","turkey",23
"126","zarif",23
"127","house",22
"128","policy",22
"129","region",22
"130","reported",22
"131","republican",22
"132","2015",21
"133","25",21
"134","adding",21
"135","air",21
"136","british",21
"137","kilometers",21
"138","northern",21
"139","oct",21
"140","palestinian",21
"141","prime",21
"142","10",20
"143","aleppo",20
"144","armed",20
"145","fight",20
"146","hit",20
"147","protesters",20
"148","rally",20
"149","referendum",20
"150","time",20
"151","tuesday",20
"152","west",20
"153","yemeni",20
"154","york",20
"155","ap",19
"156","candidate",19
"157","claimed",19
"158","days",19
"159","launched",19
"160","led",19
"161","power",19
"162","2",18
"163","arab",18
"164","attacks",18
"165","brexit",18
"166","control",18
"167","court",18
"168","europe",18
"169","fighters",18
"170","islamic",18
"171","lavrov",18
"172","nations",18
"173","noted",18
"174","official",18
"175","pakistani",18
"176","presence",18
"177","recent",18
"178","remarks",18
"179","statement",18
"180","supporters",18
"181","warned",18
"182","weapons",18
"183","3",17
"184","aircraft",17
"185","injured",17
"186","issues",17
"187","libya",17
"188","month",17
"189","obama",17
"190","parliament",17
"191","quds",17
"192","released",17
"193","thousands",17
"194","20",16
"195","28",16
"196","airstrikes",16
"197","bahrain",16
"198","base",16
"199","britain",16
"200","continue",16
"201","jerusalem",16
"202","media",16
"203","occupied",16
"204","palestinians",16
"205","politics",16
"206","regional",16
"207","report",16
"208","september",16
"209","top",16
"210","white",16
"211","14",15
"212","2014",15
"213","24",15
"214","accused",15
"215","bank",15
"216","border",15
"217","country’s",15
"218","de",15
"219","economic",15
"220","family",15
"221","iraq’s",15
"222","lost",15
"223","market",15
"224","moon",15
"225","party",15
"226","site",15
"227","soldiers",15
"228","speech",15
"229","women",15
"230","5",14
"231","8",14
"232","agency",14
"233","death",14
"234","engaged",14
"235","file",14
"236","houthi",14
